,Peak Position,Weeks on Chart,spotify_track_duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,explicit,YearID
Op,69.0,1.0,226706.0,0.44,0.976,10.0,-3.17,1.0,0.141,0.0017699999999999999,3.39e-06,0.16,0.41200000000000003,150.005,4.0,0,1958
Got A Match?,85.0,1.0,222333.0,0.6459999999999999,0.527,11.0,-7.356,1.0,0.0478,0.0168,0.0,0.204,0.287,68.501,4.0,0,1958
(It's Been A Long Time) Pretty Baby,46.0,1.0,141426.0,0.511,0.23600000000000002,0.0,-14.495999999999999,1.0,0.043,0.67,0.0,0.0953,0.196,141.222,4.0,0,1958
Little Serenade,98.0,1.0,230320.0,0.565,0.245,5.0,-9.132,1.0,0.0262,0.7809999999999999,0.0,0.0998,0.307,75.055,4.0,0,1958
To Be Loved,86.0,1.0,191266.0,0.738,0.768,11.0,-7.045,0.0,0.0348,0.381,0.145,0.1,0.603,120.01299999999999,4.0,0,1958
Big Man,67.0,1.0,191146.0,0.747,0.76,1.0,-4.294,1.0,0.187,0.44799999999999995,0.0,0.153,0.682,99.975,4.0,0,1958
Beautiful Delilah,81.0,1.0,166546.0,0.52,0.271,8.0,-9.806000000000001,1.0,0.0299,0.618,0.0,0.109,0.509,110.789,4.0,0,1958
Try The Impossible,70.0,2.0,146573.0,0.564,0.436,2.0,-17.491,1.0,0.0351,0.18899999999999997,0.845,0.0678,0.655,112.119,4.0,0,1958
You Need Hands,57.0,2.0,274106.0,0.455,0.363,6.0,-14.165,1.0,0.0314,0.0337,3.1e-05,0.107,0.16699999999999998,61.496,4.0,0,1958
Lean Jean,67.0,1.0,185599.0,0.358,0.373,3.0,-9.145,1.0,0.0347,0.6859999999999999,0.0,0.358,0.642,181.88,3.0,0,1958
Don't Go Home,70.0,2.0,319800.0,0.47,0.45899999999999996,7.0,-17.319000000000003,1.0,0.0265,0.0242,3.37e-06,0.596,0.604,95.902,4.0,0,1958
Jennie Lee,44.0,2.0,195453.0,0.716,0.5479999999999999,5.0,-8.213,1.0,0.0307,0.195,0.000328,0.192,0.677,129.006,4.0,0,1958
Midnighter,94.0,1.0,243280.0,0.611,0.853,2.0,-4.9830000000000005,1.0,0.034,0.0219,0.0,0.6709999999999999,0.376,135.558,4.0,0,1958
Moonlight Bay,86.0,1.0,152306.0,0.778,0.29,3.0,-12.873,1.0,0.0625,0.8370000000000001,0.000523,0.21,0.767,112.04799999999999,4.0,0,1958
Young And Warm And Wonderful,59.0,2.0,366266.0,0.875,0.603,6.0,-11.995,1.0,0.0703,0.319,0.00981,0.0575,0.8240000000000001,109.66799999999999,4.0,0,1958
Sunday Barbecue,97.0,1.0,296333.0,0.465,0.54,1.0,-7.097,1.0,0.0277,0.177,2.82e-06,0.106,0.23399999999999999,75.88,4.0,0,1958
Little Mary,72.0,2.0,155240.0,0.324,0.387,0.0,-11.883,1.0,0.0338,0.496,7.09e-05,0.122,0.171,103.26299999999999,3.0,0,1958
The Purple People Eater Meets The Witch Doctor,89.0,2.0,252200.0,0.188,0.516,2.0,-9.793,1.0,0.032,0.452,0.799,0.451,0.501,77.898,4.0,0,1958
High School Confidential,63.0,2.0,237840.0,0.8959999999999999,0.552,4.0,-6.11,0.0,0.102,0.273,0.0,0.0662,0.657,93.001,4.0,0,1958
Nothing In The World,99.0,1.0,189506.0,0.589,0.769,9.0,-10.49,1.0,0.045,0.133,0.00123,0.5660000000000001,0.8490000000000001,146.095,4.0,0,1958
Come In Stranger,87.0,1.0,180160.0,0.39299999999999996,0.316,2.0,-12.585,1.0,0.0271,0.948,0.00024900000000000004,0.10800000000000001,0.33,99.95700000000001,3.0,0,1958
Let's Go Steady For The Summer,55.0,3.0,426733.0,0.36,0.868,9.0,-9.085,1.0,0.040999999999999995,0.0709,0.000909,0.233,0.762,148.547,4.0,0,1958
Harvey's Got A Girl Friend,78.0,2.0,188238.0,0.5760000000000001,0.267,2.0,-5.667999999999999,1.0,0.044000000000000004,0.878,0.0,0.11900000000000001,0.326,205.888,4.0,0,1958
Delicious!,79.0,2.0,242360.0,0.68,0.687,0.0,-8.44,0.0,0.0385,0.0387,0.00132,0.105,0.317,102.999,4.0,0,1958
Ma Ma Ma Marie,97.0,1.0,257600.0,0.604,0.867,7.0,-5.547000000000001,1.0,0.262,0.00112,0.0,0.133,0.614,163.411,4.0,1,1958
You're Making A Mistake,65.0,3.0,218733.0,0.521,0.26,3.0,-15.870999999999999,1.0,0.0306,0.6509999999999999,0.0,0.156,0.21899999999999997,96.02,4.0,0,1958
Down In Virginia,93.0,2.0,185733.0,0.633,0.655,7.0,-11.514000000000001,1.0,0.0312,0.617,2.79e-06,0.113,0.9670000000000001,146.868,4.0,0,1958
Crazy Eyes For You,40.0,3.0,197781.0,0.6579999999999999,0.727,10.0,-17.404,1.0,0.0347,0.335,0.00299,0.135,0.96,111.682,4.0,0,1958
Blip Blop,84.0,2.0,260906.0,0.764,0.878,5.0,-5.647,0.0,0.0523,0.287,0.0035600000000000002,0.18,0.825,112.37,4.0,0,1958
Come What May,43.0,3.0,252613.0,0.633,0.601,1.0,-9.82,1.0,0.48200000000000004,0.0635,0.00144,0.0712,0.556,91.99,4.0,1,1958
"Baubles, Bangles And Beads",50.0,3.0,283493.0,0.6409999999999999,0.7959999999999999,2.0,-8.56,0.0,0.0407,0.0137,0.00011499999999999999,0.358,0.727,123.229,4.0,0,1958
"No Chemise, Please",36.0,3.0,176000.0,0.774,0.33799999999999997,5.0,-16.033,0.0,0.0941,0.457,0.7929999999999999,0.0749,0.777,87.352,4.0,0,1958
Who Are They To Say,99.0,1.0,153920.0,0.83,0.325,9.0,-13.681,1.0,0.0373,0.514,0.00165,0.172,0.816,123.094,4.0,0,1958
Borrowed Dreams,60.0,2.0,175280.0,0.293,0.14400000000000002,0.0,-21.791999999999998,1.0,0.0388,0.624,6.04e-05,0.12300000000000001,0.418,145.033,3.0,0,1958
Return To Me,48.0,4.0,234653.0,0.514,0.609,1.0,-5.034,1.0,0.0267,0.188,2.5e-06,0.0793,0.36200000000000004,147.774,4.0,0,1958
The Purple People Eater,24.0,4.0,178933.0,0.495,0.67,7.0,-5.917999999999999,1.0,0.0284,0.047,2.52e-05,0.21899999999999997,0.478,112.443,4.0,0,1958
Straighten Up & Fly Right,73.0,2.0,249933.0,0.607,0.526,0.0,-10.324000000000002,1.0,0.0377,0.376,0.0,0.14,0.6,133.61700000000002,4.0,0,1958
Happy Years,73.0,4.0,128280.0,0.507,0.5489999999999999,3.0,-4.73,1.0,0.0301,0.5,0.0,0.32,0.636,77.682,4.0,0,1958
Old MacDonald,95.0,1.0,151866.0,0.386,0.21600000000000003,0.0,-7.853,1.0,0.0354,0.938,1.19e-06,0.105,0.41700000000000004,198.454,3.0,0,1958
"Volare (Nel Blu, Dipinto Di Blu)",80.0,1.0,171573.0,0.578,0.6729999999999999,7.0,-13.155999999999999,1.0,0.0446,0.0968,8.329999999999999e-05,0.0927,0.721,119.786,4.0,0,1958
Little Brass Band,78.0,2.0,161760.0,0.602,0.725,8.0,-5.32,1.0,0.0286,0.43200000000000005,0.0,0.049,0.9329999999999999,126.815,4.0,0,1958
Pickle Up A Doodle,99.0,1.0,133506.0,0.605,0.273,8.0,-18.59,1.0,0.036000000000000004,0.376,0.0,0.363,0.5589999999999999,125.353,4.0,0,1958
Prisoner's Song,81.0,2.0,215266.0,0.75,0.754,2.0,-6.999,1.0,0.0327,0.287,0.000207,0.444,0.83,137.533,4.0,0,1958
I'll Make It All Up To You,85.0,1.0,243280.0,0.541,0.602,10.0,-6.0329999999999995,1.0,0.0257,0.259,1.37e-06,0.125,0.446,81.32,4.0,0,1958
Invitation To The Blues,92.0,1.0,247386.0,0.614,0.619,2.0,-5.345,1.0,0.0229,0.012,0.0,0.152,0.278,81.043,4.0,0,1958
Strange Are The Ways Of Love,80.0,3.0,273333.0,0.607,0.735,11.0,-6.725,1.0,0.0295,0.0116,1.4800000000000002e-05,0.191,0.536,115.339,4.0,0,1958
Leroy,83.0,5.0,261066.0,0.562,0.48100000000000004,0.0,-8.753,1.0,0.034,0.583,1.1e-06,0.12300000000000001,0.23,139.743,4.0,0,1958
The Freeze,33.0,6.0,281613.0,0.602,0.522,10.0,-9.031,1.0,0.0285,0.386,1.4400000000000001e-05,0.0941,0.36,136.637,4.0,0,1958
Endless Sleep,17.0,6.0,184253.0,0.7170000000000001,0.563,0.0,-10.038,1.0,0.0509,0.27,0.00186,0.0856,0.855,97.469,4.0,0,1958
Guess I've Been Around Too Long,93.0,1.0,142026.0,0.516,0.447,3.0,-10.501,1.0,0.0581,0.975,0.0,0.305,0.8390000000000001,173.48,4.0,0,1958
That's How Much I Love You,39.0,6.0,213760.0,0.434,0.872,0.0,-2.9739999999999998,1.0,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,4.0,0,1958
Hey Girl - Hey Boy,61.0,5.0,341293.0,0.93,0.547,9.0,-8.289,1.0,0.22,0.0109,0.0008810000000000001,0.0559,0.955,130.792,4.0,0,1958
Where The Blue Of The Night,76.0,4.0,195000.0,0.629,0.677,1.0,-7.239,1.0,0.0299,0.122,9.72e-06,0.0962,0.627,132.783,4.0,0,1958
Week End,84.0,3.0,312040.0,0.667,0.374,7.0,-13.587,0.0,0.0385,0.0688,0.0,0.469,0.603,129.935,4.0,0,1958
Kathy-O,45.0,7.0,188360.0,0.512,0.415,7.0,-7.642,1.0,0.0608,0.872,0.0,0.184,0.7140000000000001,147.2,4.0,0,1958
Yakety Yak,7.0,7.0,157226.0,0.685,0.326,1.0,-12.720999999999998,0.0,0.0365,0.606,0.0,0.0942,0.8029999999999999,101.863,4.0,0,1958
Enchanted Island,29.0,7.0,356733.0,0.6829999999999999,0.551,2.0,-10.164,0.0,0.0315,0.247,2.12e-05,0.0471,0.9620000000000001,124.585,4.0,0,1958
Blue Boy,78.0,6.0,199226.0,0.736,0.794,7.0,-6.178,0.0,0.077,0.0255,0.0,0.322,0.8540000000000001,113.0,4.0,0,1958
Guess Things Happen That Way,21.0,7.0,268051.0,0.591,0.574,5.0,-8.276,0.0,0.0269,0.228,1.4300000000000002e-05,0.0794,0.22899999999999998,131.495,4.0,0,1958
Gas Money,85.0,2.0,162200.0,0.514,0.315,2.0,-13.969000000000001,1.0,0.0506,0.45899999999999996,0.0,0.0776,0.523,120.976,4.0,0,1958
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),13.0,7.0,251093.0,0.33799999999999997,0.349,4.0,-11.439,1.0,0.0287,0.767,7.35e-05,0.11,0.345,147.441,3.0,0,1958
Gotta Have Rain,63.0,7.0,302013.0,0.52,0.847,9.0,-5.3,1.0,0.42700000000000005,0.272,0.0,0.325,0.799,177.37099999999998,4.0,1,1958
Up Until Now,81.0,3.0,200466.0,0.513,0.568,5.0,-8.869,1.0,0.0285,0.544,0.0,0.19399999999999998,0.615,132.554,4.0,0,1958
By The Light Of The Silvery Moon,50.0,8.0,312960.0,0.721,0.738,2.0,-5.682,1.0,0.0649,0.0022199999999999998,0.0,0.22399999999999998,0.375,135.988,4.0,1,1958
Rebel-'rouser,6.0,8.0,226306.0,0.531,0.746,11.0,-4.228,1.0,0.0329,0.0972,0.0,0.102,0.304,139.78799999999998,4.0,0,1958
Splish Splash,3.0,8.0,169720.0,0.5539999999999999,0.629,0.0,-11.200999999999999,1.0,0.0525,0.00916,0.0,0.135,0.73,100.07600000000001,4.0,0,1958
The Wizard,45.0,7.0,303960.0,0.46299999999999997,0.902,0.0,-7.9079999999999995,1.0,0.044000000000000004,0.33799999999999997,0.00022400000000000002,0.248,0.6609999999999999,116.685,4.0,0,1958
Hard Headed Woman,4.0,8.0,221360.0,0.674,0.736,2.0,-5.446000000000001,1.0,0.0385,0.0704,1.89e-06,0.15,0.85,127.427,4.0,0,1958
Blue Blue Day,32.0,8.0,244186.0,0.363,0.637,1.0,-9.45,1.0,0.0461,0.313,0.000156,0.105,0.4,140.75799999999998,4.0,0,1958
When Will I Know,99.0,4.0,248093.0,0.501,0.382,2.0,-13.743,1.0,0.0316,0.127,0.0,0.301,0.601,132.145,4.0,0,1958
Young School Girl,92.0,1.0,338800.0,0.629,0.581,4.0,-11.856,1.0,0.027000000000000003,0.513,2.06e-06,0.0755,0.359,97.074,4.0,0,1958
Fire Of Love,82.0,5.0,223080.0,0.8029999999999999,0.524,0.0,-6.909,1.0,0.29100000000000004,0.0131,0.0,0.124,0.35200000000000004,95.005,4.0,1,1958
You Got That Touch,94.0,2.0,229306.0,0.8490000000000001,0.6940000000000001,6.0,-14.43,0.0,0.0642,0.0232,0.00252,0.0524,0.932,118.309,4.0,0,1958
Cerveza,62.0,8.0,161760.0,0.66,0.45,7.0,-10.665999999999999,1.0,0.0415,0.87,0.0219,0.218,0.843,125.555,4.0,0,1958
Please Don't Do It,77.0,5.0,287000.0,0.6459999999999999,0.812,6.0,-3.932,1.0,0.254,0.218,0.0,0.299,0.6940000000000001,95.014,4.0,0,1958
Come Closer To Me (Acercate Mas),41.0,9.0,142000.0,0.413,0.16399999999999998,0.0,-14.579,1.0,0.0378,0.914,1.4000000000000001e-05,0.0883,0.845,183.178,4.0,0,1958
When,5.0,9.0,247586.0,0.7020000000000001,0.795,1.0,-4.763999999999999,1.0,0.0568,0.32899999999999996,0.0,0.0505,0.836,83.961,4.0,0,1958
Many A Time,97.0,2.0,411146.0,0.534,0.415,1.0,-11.780999999999999,0.0,0.0278,0.314,0.000365,0.0847,0.188,173.56099999999998,4.0,0,1958
Betty Lou Got A New Pair Of Shoes,37.0,9.0,211240.0,0.536,0.536,5.0,-11.222999999999999,1.0,0.134,0.45399999999999996,0.0,0.114,0.7609999999999999,139.517,3.0,0,1958
Moon Talk,29.0,9.0,218200.0,0.564,0.883,11.0,-3.614,0.0,0.03,0.00586,0.0,0.0351,0.322,129.032,4.0,0,1958
Bullwhip Rock,83.0,2.0,216893.0,0.758,0.665,2.0,-5.188,0.0,0.0774,0.0815,0.000157,0.21600000000000003,0.643,151.976,4.0,1,1958
Nothin' Shakin',64.0,3.0,100933.0,0.665,0.701,8.0,-6.607,1.0,0.0329,0.622,6.48e-05,0.141,0.977,133.85299999999998,1.0,0,1958
If Dreams Came True,12.0,10.0,119746.0,0.29,0.125,4.0,-17.262,1.0,0.0345,0.915,0.00024300000000000002,0.0937,0.27699999999999997,165.89700000000002,5.0,0,1958
Willie And The Hand Jive,9.0,10.0,165893.0,0.46299999999999997,0.364,7.0,-14.812999999999999,1.0,0.0351,0.508,0.0,0.418,0.409,115.14,4.0,0,1958
"Wendy, Wendy",72.0,3.0,209533.0,0.301,0.385,0.0,-6.885,1.0,0.0345,0.821,4.09e-05,0.322,0.33399999999999996,119.523,3.0,0,1958
Fried Onions,96.0,1.0,259306.0,0.654,0.452,2.0,-9.709,1.0,0.03,0.835,2.8899999999999998e-05,0.16,0.691,106.662,3.0,0,1958
The Day I Died,81.0,2.0,155453.0,0.469,0.5479999999999999,7.0,-8.085,1.0,0.0289,0.551,4.23e-06,0.0851,0.733,136.747,4.0,0,1958
Over The Weekend,62.0,6.0,165653.0,0.59,0.912,10.0,-4.815,0.0,0.0614,0.000363,5.14e-05,0.0437,0.535,120.008,4.0,0,1958
Ginger Bread,9.0,11.0,233773.0,0.679,0.58,5.0,-7.034,1.0,0.0238,0.17600000000000002,0.0015300000000000001,0.0944,0.429,104.35700000000001,4.0,0,1958
La Paloma,26.0,10.0,179586.0,0.591,0.613,7.0,-12.368,1.0,0.0456,0.53,0.0,0.0745,0.679,113.311,4.0,0,1958
Bluebell,94.0,1.0,269973.0,0.584,0.491,7.0,-6.631,1.0,0.0263,0.455,0.0,0.11599999999999999,0.0916,120.28299999999999,4.0,0,1958
Break-Up,52.0,5.0,130666.0,0.546,0.883,10.0,-11.308,0.0,0.0537,0.0313,0.0,0.258,0.9670000000000001,94.656,4.0,0,1958
Dance Everyone Dance,34.0,9.0,158893.0,0.728,0.8059999999999999,10.0,-7.64,1.0,0.0502,0.643,0.00564,0.0745,0.9440000000000001,107.63600000000001,4.0,0,1958
Geraldine,96.0,1.0,160893.0,0.415,0.826,7.0,-6.627000000000001,1.0,0.0374,0.16,0.0,0.214,0.7490000000000001,92.37200000000001,4.0,0,1958
Poor Little Fool,1.0,11.0,334880.0,0.7490000000000001,0.5,10.0,-14.710999999999999,0.0,0.0581,0.5770000000000001,0.955,0.19,0.816,165.56400000000002,4.0,0,1958
My Lucky Love,73.0,4.0,313106.0,0.7859999999999999,0.701,7.0,-11.937999999999999,1.0,0.033,0.11699999999999999,5.5e-05,0.21100000000000002,0.841,102.838,4.0,0,1958
Well I'm Your Man,87.0,3.0,221933.0,0.69,0.787,4.0,-12.788,0.0,0.0409,0.125,0.0,0.136,0.8290000000000001,107.24,4.0,0,1958
Real Wild Child,68.0,5.0,197416.0,0.877,0.534,1.0,-6.18,1.0,0.151,0.0339,1.73e-05,0.0441,0.89,108.171,4.0,0,1958
Fever,8.0,12.0,266840.0,0.851,0.525,2.0,-5.221,0.0,0.0874,0.42100000000000004,0.0,0.111,0.405,97.988,4.0,1,1958
Lazy Summer Night,21.0,10.0,346586.0,0.43700000000000006,0.727,2.0,-5.432,1.0,0.0293,0.0532,0.0,0.10300000000000001,0.233,73.029,4.0,0,1958
Western Movies,8.0,12.0,212200.0,0.52,0.42100000000000004,9.0,-12.255999999999998,0.0,0.0312,0.031,7.14e-06,0.11199999999999999,0.565,162.361,4.0,0,1958
Put A Ring On My Finger,32.0,10.0,130680.0,0.605,0.552,2.0,-11.109000000000002,0.0,0.055,0.8370000000000001,0.0,0.158,0.9490000000000001,130.888,4.0,0,1958
What Little Girl,79.0,2.0,244440.0,0.631,0.597,4.0,-7.382000000000001,0.0,0.026000000000000002,0.379,0.0027300000000000002,0.146,0.665,107.26,4.0,0,1958
Are You Really Mine,10.0,13.0,230693.0,0.46,0.498,5.0,-12.687000000000001,1.0,0.0358,0.457,0.0122,0.0817,0.831,101.419,4.0,0,1958
Stupid Cupid,17.0,13.0,168120.0,0.5720000000000001,0.8,8.0,-5.499,1.0,0.135,0.7190000000000001,5.28e-05,0.6729999999999999,0.9109999999999999,116.33200000000001,4.0,0,1958
She Was Only Seventeen (He Was One Year More),27.0,13.0,210093.0,0.449,0.789,3.0,-3.114,1.0,0.0351,0.0035700000000000003,0.0,0.0816,0.251,141.922,4.0,0,1958
Someday (You'll Want Me To Want You),95.0,1.0,167813.0,0.7340000000000001,0.698,9.0,-5.832999999999999,1.0,0.0331,0.473,8.02e-05,0.297,0.605,114.031,4.0,0,1958
Hoopa Hoola,56.0,5.0,157333.0,0.6809999999999999,0.519,9.0,-10.549000000000001,1.0,0.0317,0.0535,0.000729,0.138,0.73,120.221,4.0,0,1958
Down The Aisle Of Love,20.0,12.0,184226.0,0.655,0.782,1.0,-4.789,1.0,0.185,0.375,0.0,0.317,0.8320000000000001,79.42699999999999,4.0,0,1958
Born Too Late,7.0,14.0,172480.0,0.521,0.516,2.0,-7.456,0.0,0.0369,0.723,0.0,0.257,0.569,136.483,4.0,0,1958
Patricia,2.0,14.0,318733.0,0.732,0.772,10.0,-8.533999999999999,0.0,0.0533,0.0969,0.0133,0.0329,0.647,114.41799999999999,4.0,0,1958
The Hula Hoop Song,38.0,5.0,183573.0,0.847,0.35600000000000004,11.0,-15.243,0.0,0.242,0.506,0.0352,0.115,0.741,126.902,4.0,0,1958
Itchy Twitchy Feeling,25.0,14.0,233653.0,0.588,0.7020000000000001,3.0,-5.295,1.0,0.0269,0.316,0.0,0.18899999999999997,0.597,106.052,4.0,0,1958
Blue Ribbon Baby,50.0,11.0,133773.0,0.531,0.561,8.0,-6.353,1.0,0.0348,0.501,7.1e-06,0.133,0.5870000000000001,101.992,4.0,0,1958
Hold It,92.0,1.0,127626.0,0.8,0.647,5.0,-9.36,1.0,0.0396,0.555,0.0,0.0691,0.94,124.48100000000001,4.0,0,1958
Devoted To You,10.0,14.0,196760.0,0.24600000000000002,0.22699999999999998,2.0,-18.034000000000002,1.0,0.0494,0.794,6.15e-05,0.0708,0.42,198.25900000000001,3.0,0,1958
Flamingo L'Amore,98.0,1.0,186866.0,0.634,0.8079999999999999,3.0,-4.12,1.0,0.0516,0.19,0.0,0.0898,0.937,82.021,4.0,1,1958
When I Grow Too Old To Dream,59.0,7.0,208162.0,0.684,0.823,9.0,-3.2969999999999997,0.0,0.0773,0.0744,0.0,0.111,0.647,91.04799999999999,4.0,0,1958
Just Young,69.0,7.0,168773.0,0.522,0.62,2.0,-7.862,1.0,0.0258,0.177,0.0,0.488,0.6890000000000001,88.209,4.0,0,1958
Nel Blu Dipinto Di Blu (Volaré),1.0,16.0,230133.0,0.909,0.539,8.0,-4.2780000000000005,0.0,0.11599999999999999,0.243,0.0,0.0674,0.8690000000000001,90.038,4.0,1,1958
"Gee, But It's Lonely",31.0,9.0,225253.0,0.5539999999999999,0.755,2.0,-6.04,1.0,0.0319,0.225,0.0,0.301,0.624,77.962,4.0,0,1958
Fibbin',39.0,9.0,222440.0,0.341,0.73,11.0,-13.220999999999998,1.0,0.0467,0.0256,2.49e-06,0.0783,0.752,130.076,4.0,0,1958
La-Do-Dada,32.0,12.0,240480.0,0.638,0.65,2.0,-7.787999999999999,1.0,0.0605,0.34,0.00020099999999999998,0.10300000000000001,0.684,83.01100000000001,4.0,0,1958
Coquette,92.0,1.0,129384.0,0.981,0.41700000000000004,11.0,-10.732000000000001,0.0,0.134,0.0471,0.359,0.10300000000000001,0.262,122.044,4.0,1,1958
"Nine More Miles (The ""Faster-Faster"" Song)",58.0,9.0,322133.0,0.305,0.594,5.0,-10.499,1.0,0.0447,0.15,0.000303,0.39,0.426,145.77,4.0,0,1958
"Promise Me, Love",17.0,12.0,156506.0,0.6559999999999999,0.591,2.0,-13.425,1.0,0.0487,0.0949,0.0,0.0737,0.975,78.11,4.0,0,1958
Little Star,1.0,17.0,201533.0,0.764,0.573,9.0,-11.763,0.0,0.0347,0.0136,0.18,0.111,0.8059999999999999,123.32799999999999,4.0,0,1958
It Don't Hurt No More,89.0,2.0,205120.0,0.705,0.445,7.0,-12.216,0.0,0.0434,0.0135,0.364,0.0942,0.807,130.338,4.0,0,1958
This Little Girl's Gone Rockin',24.0,10.0,242400.0,0.5529999999999999,0.9740000000000001,3.0,-3.949,1.0,0.0741,0.000343,4.39e-05,0.258,0.384,127.89,4.0,0,1958
Leave Me Alone (Let Me Cry),44.0,9.0,157466.0,0.568,0.7240000000000001,2.0,-8.443,1.0,0.0276,0.509,0.0,0.179,0.8759999999999999,102.206,4.0,0,1958
Everyone Was There,96.0,2.0,211960.0,0.41600000000000004,0.53,7.0,-8.182,1.0,0.0255,0.161,1.34e-06,0.10800000000000001,0.379,102.029,4.0,0,1958
Go Chase A Moonbeam,60.0,7.0,245333.0,0.509,0.932,11.0,-3.948,1.0,0.0667,0.268,0.0,0.0615,0.675,138.722,4.0,0,1958
White Bucks And Saddle Shoes,74.0,4.0,117826.0,0.442,0.452,2.0,-9.66,0.0,0.0568,0.534,0.898,0.0638,0.835,147.661,4.0,0,1958
Treasure Of Your Love,26.0,15.0,254858.0,0.552,0.672,10.0,-9.772,0.0,0.0888,0.371,0.0159,0.0671,0.63,126.791,5.0,0,1958
Firefly,20.0,13.0,170600.0,0.66,0.7809999999999999,2.0,-9.525,1.0,0.0323,0.254,0.0,0.196,0.875,95.75399999999999,4.0,0,1958
Bird Dog,2.0,18.0,265906.0,0.48700000000000004,0.7020000000000001,7.0,-6.042999999999999,1.0,0.0238,0.00536,4.93e-06,0.129,0.306,95.973,4.0,0,1958
Give Myself A Party,46.0,10.0,176840.0,0.484,0.525,10.0,-8.92,1.0,0.109,0.581,0.0,0.16,0.82,168.236,3.0,0,1958
Almost In Your Arms,78.0,4.0,213360.0,0.705,0.71,9.0,-4.894,1.0,0.0675,0.245,1.6899999999999997e-05,0.154,0.735,97.031,4.0,0,1958
Susie Darlin',5.0,17.0,203773.0,0.591,0.583,4.0,-10.054,1.0,0.0415,0.629,2.3e-06,0.365,0.862,129.864,4.0,0,1958
For My Good Fortune,23.0,11.0,209269.0,0.8390000000000001,0.81,5.0,-5.274,0.0,0.0568,0.501,0.0,0.11699999999999999,0.8140000000000001,129.014,4.0,1,1958
Look Who's Blue,58.0,10.0,284066.0,0.6409999999999999,0.775,9.0,-6.419,1.0,0.0498,0.0018399999999999998,0.177,0.0948,0.8540000000000001,126.17399999999999,4.0,0,1958
Light Of Love,63.0,6.0,202133.0,0.785,0.784,9.0,-3.739,1.0,0.0333,0.00845,0.000145,0.251,0.6459999999999999,120.031,4.0,0,1958
What Do I Care,52.0,8.0,206533.0,0.267,0.252,7.0,-11.687000000000001,1.0,0.0351,0.8,4.429999999999999e-05,0.08900000000000001,0.13,37.114000000000004,4.0,0,1958
