,0
Op,69.0
Got A Match?,85.0
(It's Been A Long Time) Pretty Baby,46.0
Little Serenade,98.0
To Be Loved,86.0
Big Man,67.0
Beautiful Delilah,81.0
Try The Impossible,140.0
You Need Hands,114.0
Lean Jean,67.0
Don't Go Home,140.0
Jennie Lee,88.0
Midnighter,94.0
Moonlight Bay,86.0
Young And Warm And Wonderful,118.0
Sunday Barbecue,97.0
Little Mary,144.0
The Purple People Eater Meets The Witch Doctor,178.0
High School Confidential,126.0
Nothing In The World,99.0
Come In Stranger,87.0
Let's Go Steady For The Summer,165.0
Harvey's Got A Girl Friend,156.0
Delicious!,158.0
Ma Ma Ma Marie,97.0
You're Making A Mistake,195.0
Down In Virginia,186.0
Crazy Eyes For You,120.0
Blip Blop,168.0
Come What May,129.0
"Baubles, Bangles And Beads",150.0
"No Chemise, Please",108.0
Who Are They To Say,99.0
Borrowed Dreams,120.0
Return To Me,192.0
The Purple People Eater,96.0
Straighten Up & Fly Right,146.0
Happy Years,292.0
Old MacDonald,95.0
"Volare (Nel Blu, Dipinto Di Blu)",80.0
Little Brass Band,156.0
Pickle Up A Doodle,99.0
Prisoner's Song,162.0
I'll Make It All Up To You,85.0
Invitation To The Blues,92.0
Strange Are The Ways Of Love,240.0
Leroy,415.0
The Freeze,198.0
Endless Sleep,102.0
Guess I've Been Around Too Long,93.0
That's How Much I Love You,234.0
Hey Girl - Hey Boy,305.0
Where The Blue Of The Night,304.0
Week End,252.0
Kathy-O,315.0
Yakety Yak,49.0
Enchanted Island,203.0
Blue Boy,468.0
Guess Things Happen That Way,147.0
Gas Money,170.0
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),91.0
Gotta Have Rain,441.0
Up Until Now,243.0
By The Light Of The Silvery Moon,400.0
Rebel-'rouser,48.0
Splish Splash,24.0
The Wizard,315.0
Hard Headed Woman,32.0
Blue Blue Day,256.0
When Will I Know,396.0
Young School Girl,92.0
Fire Of Love,410.0
You Got That Touch,188.0
Cerveza,496.0
Please Don't Do It,385.0
Come Closer To Me (Acercate Mas),369.0
When,45.0
Many A Time,194.0
Betty Lou Got A New Pair Of Shoes,333.0
Moon Talk,261.0
Bullwhip Rock,166.0
Nothin' Shakin',192.0
If Dreams Came True,120.0
Willie And The Hand Jive,90.0
"Wendy, Wendy",216.0
Fried Onions,96.0
The Day I Died,162.0
Over The Weekend,372.0
Ginger Bread,99.0
La Paloma,260.0
Bluebell,94.0
Break-Up,260.0
Dance Everyone Dance,306.0
Geraldine,96.0
Poor Little Fool,11.0
My Lucky Love,292.0
Well I'm Your Man,261.0
Real Wild Child,340.0
Fever,96.0
Lazy Summer Night,210.0
Western Movies,96.0
Put A Ring On My Finger,320.0
What Little Girl,158.0
Are You Really Mine,130.0
Stupid Cupid,221.0
She Was Only Seventeen (He Was One Year More),351.0
Someday (You'll Want Me To Want You),95.0
Hoopa Hoola,280.0
Down The Aisle Of Love,240.0
Born Too Late,98.0
Patricia,28.0
The Hula Hoop Song,190.0
Itchy Twitchy Feeling,350.0
Blue Ribbon Baby,550.0
Hold It,92.0
Devoted To You,140.0
Flamingo L'Amore,98.0
When I Grow Too Old To Dream,413.0
Just Young,483.0
Nel Blu Dipinto Di Blu (Volaré),16.0
"Gee, But It's Lonely",279.0
Fibbin',351.0
La-Do-Dada,384.0
Coquette,92.0
"Nine More Miles (The ""Faster-Faster"" Song)",522.0
"Promise Me, Love",204.0
Little Star,17.0
It Don't Hurt No More,178.0
This Little Girl's Gone Rockin',240.0
Leave Me Alone (Let Me Cry),396.0
Everyone Was There,192.0
Go Chase A Moonbeam,420.0
White Bucks And Saddle Shoes,296.0
Treasure Of Your Love,390.0
Firefly,260.0
Bird Dog,36.0
Give Myself A Party,460.0
Almost In Your Arms,312.0
Susie Darlin',85.0
For My Good Fortune,253.0
Look Who's Blue,580.0
Light Of Love,378.0
What Do I Care,416.0
You Cheated,240.0
Guaglione,477.0
The Blob,330.0
The Secret,234.0
Crazy Country Hop,384.0
Near You,170.0
Topsy I,351.0
"A House, A Car And A Wedding Ring",440.0
Intermission Riff,244.0
All Over Again,418.0
I Just Thought You'd Like To Know,85.0
A Part Of Me,266.0
Love Makes The World Go 'round,330.0
Jealous Heart,620.0
Cimarron (Roll On),440.0
Mexican Hat Rock,240.0
Rock-in Robin,42.0
Joe Joe Gunne,445.0
Seven Minutes In Heaven,255.0
Ten Commandments Of Love,352.0
The Voice In My Heart,88.0
There Goes My Heart,304.0
The Day The Rains Came,315.0
Little Red Riding Hood,336.0
Merry Christmas Baby,213.0
So Much,174.0
Mandolins In The Moonlight,470.0
Diamond Ring,312.0
I'll Remember Tonight,374.0
Green Chri$tma$,88.0
Sing Sing Sing,322.0
Mr. Success,451.0
Sermonette,99.0
¿Dònde Està Santa Claus? (Where Is Santa Claus?),188.0
Sweet Little Rock And Roller,423.0
The Mocking Bird,320.0
The Fool And The Angel,450.0
Tea For Two Cha Cha,140.0
Topsy II,63.0
Hideaway,357.0
Need You,375.0
You Can't Get To Heaven On Roller Skates,99.0
That's Why I Cry,176.0
It's All In The Game,22.0
The World Outside,231.0
Turvy II,288.0
The Teen Commandments,232.0
Come Prima,420.0
The End,133.0
I'll Sail My Ship Alone,93.0
Big Bopper's Wedding,266.0
Chantilly Lace,150.0
Come Prima (Koma Preema),402.0
O' Falling Star,249.0
Teach Me Tonight Cha Cha,304.0
I Talk To The Trees,308.0
Save My Soul,219.0
That Old Black Magic,234.0
It's Just About Time,329.0
I Got A Feeling,170.0
"The Bluebird, The Buzzard & The Oriole",324.0
It's Only Make Believe,21.0
Don't You Know Yockomo,336.0
Beep Beep,60.0
Love Is All We Need,240.0
Poor Boy,289.0
Queen Of The Hop,171.0
C'mon Everybody,420.0
I'll Wait For You,255.0
Teasin',351.0
Problems,30.0
Lonesome Town,126.0
The Wedding,559.0
Tom Dooley,21.0
I Got Stung,128.0
"To Know Him, Is To Love Him",23.0
Gazachstahagen,456.0
Whole Lotta Loving,90.0
Wicked Ruby,355.0
The Chipmunk Song,13.0
Rocka-Conga,380.0
"Raspberries, Strawberries",560.0
The Worryin' Kind,621.0
Let's Love,396.0
"Alright, Okay, You Win",408.0
Red River Rose,370.0
Good Rockin' Tonight,392.0
One Night,68.0
Love You Most Of All,416.0
Blue Hawaii,370.0
Jupiter-C,324.0
Trust In Me,387.0
Evening Rain,441.0
Don't Pity Me,480.0
Teardrops Will Fall,366.0
The Diary,210.0
No Regrets,180.0
I Can't Sit Down,188.0
It's Only The Beginning,420.0
Who Cares,387.0
I'm A Man,310.0
Chip Off The Old Block,194.0
Anthony Boy,300.0
Bunny Hop,280.0
The Shag (Is Totally Cool),477.0
Teardrops On Your Letter,261.0
Ballad Of A Girl And Boy,222.0
Smoke Gets In Your Eyes,19.0
The Little Space Girl,240.0
Nobody But You,357.0
Record Hop Blues,82.0
Shirley,410.0
Manhattan Spiritual,160.0
Hurtin' Inside,332.0
Lovers Never Say Goodbye,520.0
Ambrose (Part Five),468.0
Jimmy Kiss And Run,95.0
"Blah, Blah, Blah",399.0
